,types,complaints,Commnet,cleanmsg
1035,LGBTQ,"I have been noticing myself really enjoying watching/reading about gay or lesbian couples. I've also been imagining what it might be like to date a girl, and I like the idea. I also find guys cute too. Does this make me bisexual?",,notice really enjoy watching/reading gay lesbian couple 've imagine might date idea find guy cute make bisexual
1036,LGBTQ,"I got sick really bad and was throwing up for three days and nights. I thought I was going to die. Then about a week later, I started having this desire to be female. I never had this desire before. All I can think about is being a woman. I don't get pleasure from my penis anymore either. Women are attractive, but not like before. I can also find men attractive now. I'm too ashamed to tell anyone.",,get sick really bad throw three day night thought die week later start desire female never desire think woman pleasure penis anymore either woman attractive find men attractive ashamed tell anyone
1037,LGBTQ,"I'm a teenage girl. I don't know if I'm straight, bisexual, or gay. I've been straight all my life, but a sudden rush of questions have come over me, and I don't know anymore.",,teenage straight bisexual gay 've straight life sudden rush question come anymore
1038,LGBTQ,I've recently thought that i could be transgender but I've never had the mind of a girl.,,'ve recently thought could transgender 've never mind
1039,LGBTQ,I feel like I would be more comfortable as a girl even though I still like girls. I think I'm like a girl stuck in a guy body. I imagine myself as a girl too. I think this more because my friends say that if I was a girl I would be a hot looking one. And I don't care about having boobs or anything. I just feel like the way that I do act will make more sense if I was a girl.,,feel comfortable even though still girl think stuck guy body imagine think friend say hot look care boob anything feel way act make sense
1040,Trauma/Grief/Loss,"I have major depression, severe, PTSD, anxiety disorder, and personality disorder. I had an appointment with my doctor. I was very upset, and I shared with him about that particular drug.",,major depression severe ptsd anxiety disorder personality disorder appointment doctor upset share particular drug
1041,Parenting,"Parenting (or child rearing) is the process of promoting and supporting the physical, emotional, social, financial, and intellectual development of a child from infancy to adulthood.",,parent child rear process promote support physical emotional social financial intellectual development child infancy adulthood
1042,Parenting,I don't know how to communicate with my adult daughter,,communicate adult daughter
1043,Parenting,How should I handle the child I had with my ex-wife?,,handle child ex-wife
1044,Parenting,My son plays alone at recess,,son play alone recess
1045,Parenting,My toddler wants her daddy to die when she's mad at him,,toddler want daddy die mad
1046,Parenting,Is screaming and cussing at your child considered emotional abuse?,,scream cuss child consider emotional abuse
1047,Parenting,How should we punish our son for peeing his pants because of laziness?,,punish son pee pant laziness
1048,Parenting,My mother is trying to control my life and I don't know what to do,,mother try control life
1049,Family Conflict,I get verbally abused everyday by my parents in front of my child and I cannot take it anymore,,verbally abuse everyday parent front child take anymore
1050,Parenting,Should I feel guilty if my adult daughter cannot afford to go on a family vacation?,,feel guilty adult daughter afford family vacation
1051,Parenting,"If my kids come back from their dad's and act like they are afraid they will get hit, should I be worried about him abusing them?",,kid come back dad act afraid hit worried abuse
1052,Parenting,My daughter isn't acting her age,,daughter act age
1053,Parenting,Does my daughter have a mental disability?,,daughter mental disability
1054,Parenting,How do I discipline a child with autism?,,discipline child autism
1055,Parenting,How can I help my son succeed in life when he refuses it?,,help son succeed life refuse
1056,Parenting,"I lied to my mom, then felt bad and told her the truth",,lie mom felt bad told truth
1057,Parenting,I don't know what to do about my son's lying,,son lie
1058,Parenting,I'm concerned about my 12 year old daughter,,concerned year old daughter
1059,Parenting,Is it normal to dislike one child?,,normal dislike child
1060,Parenting,Is it ok ayto talk with my grown children about spending time with their children?,,ayto talk grown child spending time child
1061,Parenting,How do I kick my stepdaughter out of our house because she isn't honoring boundaries set for her?,,kick stepdaughter house honor boundary set
1062,Parenting,How do I help my 5 year old from horrible tantrums caused by a bully at school?,,help year old horrible tantrum cause bully school
1063,Parenting,Is it healthy to embarrass a child as punishment?,,healthy embarrass child punishment
1064,Sleep Improvement,"With the semester drawing to a close, millions of college students are preparing to take their final exams. Unfortunately, research is increasingly showing that more and more students are not getting enough sleep",,semester draw close million college student prepare take final exam unfortunately research increasingly show student get enough sleep
1065,Sleep Improvement,I participated in a sleep deprivation study conducted by the U.S. military. I didn't sleep for 88 hours. AMA!,,participate sleep deprivation study conduct u.s. military sleep hour ama
1066,Sleep Improvement,Try the podcast called sleep with me. Knocks me out most night.,,try podcast call sleep knock night
1067,Sleep Improvement,"My big problem is that I start thinking and then I can’t STOP thinking. Once I sink into existential dread, it’s game over for the night.",,big problem start think stop think sink existential dread game night
1068,Sleep Improvement,Stephen Fry is amazing. If I'm having trouble sleeping I do the same thing as you.,,stephen fry amaze trouble sleep thing
1069,Sleep Improvement,stopped drinking coffee after 12 pm. Started exercising. All electronic devices are turned off an hour before I want to go to bed to sleep,,stop drinking coffee start exercise electronic device turn hour want bed sleep
1070,Sleep Improvement,Turns out I wasn't an insomniac but rather had poor health habits.,,turn insomniac rather poor health habit
1071,Sleep Improvement,I had insomnia for 10 years before i discovered meltonin. Now it's pretty much vanished completely.,,insomnia year discover meltonin pretty much vanished completely
1072,Sleep Improvement,"I had sleep problems from 12 to 25. There were some issues causing it, so I had to fix them",,sleep problem issue cause fix
1073,Sleep Improvement,"I came down with a pretty bad case of insomnia in summer 2016. Falling asleep when going to bed was usually pretty easy, but after 5 hours of sleep I would wake up bursting with adrenaline unable to rest. ",,come pretty bad case insomnia summer fall asleep bed usually pretty easy hour sleep wake bursting adrenaline unable rest
1074,Sleep Improvement,"I had a baby. Now, I sleep whenever I can for as long as I can. I still can sleep while sitting on the toilet. It's been two years and I've never felt so tired.",,baby sleep whenever long still sleep sit toilet year 've never felt tire
1075,Sleep Improvement,"Oddly, over the years nicotine has invariably helped me with sleep. I don't use it anymore",,oddly year nicotine invariably help sleep use anymore
1076,Sleep Improvement,A nightlight makes me feel safe ( fear of the dark used to keep me up) and vividly imagining a day in my ideal future distracts my mind enough that I can fall asleep. ,,nightlight make feel safe fear dark use keep vividly imagine day ideal future distracts mind enough fall asleep
1077,Sleep Improvement,"ince I was little, I had trouble sleeping. I would take 1 to 2 hours before I fell asleep. ",,ince little trouble sleep take hour fell asleep
1078,Sleep Improvement,I used to have a hell of a time falling asleep and staying asleep,,use hell time fall asleep stay asleep
1079,Sleep Improvement,Ive dealt with insomnia my whole life,,dealt insomnia whole life
1080,Workplace issues,I have been working at my current job for about 6 months. It has been very high stress the entire time and I have worked a lot of overtime just to keep up (,,work current job month high stress entire time work lot overtime keep
1081,Workplace issues,I cant understand anything at job,,cant understand anything job
1082,Workplace issues,"I worked for a small family company from 2019 - Aug 2021, when the company closed down and I was laid off.",,work small family company company close laid
1083,Workplace issues,My boss took over work I'd started. Concerned that she had doubts when i asked her for remarks,,bos take work start concerned doubt ask remark
1084,Workplace issues," Yesterday, my boss mad at me to the point wherein I had to visit the restroom and cry. ",,yesterday bos mad point wherein visit restroom cry
1085,Workplace issues,my collegues not helping me,,collegues help
1086,Workplace issues,Is my employer be committing wage theft??,,employer commit wage theft
1087,Workplace issues,I am having difficulty deciding whether or not to accept a job offer and seeking finance/career advice,,difficulty decide whether accept job offer seek finance/career advice
1088,Workplace issues,"Mentally challenged co-worker can't afford home repair, not sure if there are other resources available to her.",,mentally challenged co-worker afford home repair sure resource available
1089,Workplace issues,Company overpaid me and now demanding me to pay them back the before-tax amount,,company overpaid demand pay back before-tax amount
1090,Workplace issues,Employer Overpaid on Last Paycheck,,employer overpaid last paycheck
1091,Workplace issues,What can I do if my coworkers accuse me of wrongdoing?,,coworkers accuse wrongdoing
1092,Marriage,How do I move on after marriage?,,move marriage
1093,Depression,How can I manage  depression so I can feel normal again?,,manage depression feel normal
1094,Stress/Anxiety,How can I manage my anxiety  so I can feel normal again?,,manage anxiety feel normal
1095,Stress/Anxiety,How can I manage my stress  so I can feel normal again?,,manage stress feel normal
1096,LGBTQ,"The Lesbian, Gay, Bisexual, Transgender, and Queer (LGBTQ+) Program promotes the employment; advancement and retention of persons with differing sexual orientation, gender identity, and gender expression in the Department of Commerce",,lesbian gay bisexual transgender queer lgbtq+ program promotes employment advancement retention person differ sexual orientation gender identity gender expression department commerce
1097,LGBTQ,I've always seen him as asexual but still pretty gay.,,'ve always see asexual still pretty gay
1098,Trauma/Grief/Loss,I watched a kid die in a restaurant.,,watch kid die restaurant
1099,Family Conflict,My brother is a fucking idiot.,,brother fuck idiot
1100,Workplace issues,I called the restaurant my boss was supposed to have her birthday party at and canceled it because she let me go without any notice. I was an employee at this company for 10 years and brought in a ton of business for this woman. Never had one smudge or blemish on my record.,,call restaurant bos suppose birthday party cancel without notice employee company year brought ton business woman never smudge blemish record
1101,Relationships,Just found out my girlfriend has been cheating on me,,found girlfriend cheat
1103,Substance Abuse/Addiction,i had three meals in one day for the first time in many years,,three meal day first time many year
1104,Substance Abuse/Addiction,"but i struggled with anorexia and bulimia for about three years, and i haven’t been able to have three full meals in one day since then.",,struggle anorexia bulimia three year able three full meal day since
1105,Intimacy,My friends made fun of me because I like it when my girlfriend chokes me during sex.,,friend make fun girlfriend choke sex
1106,Social Relationships,I purposely go wash all the dishes at holiday dinners so I don’t have to talk to anyone,,purposely wash dish holiday dinner talk anyone
1107,Relationships,Living with your partner is overrated,,living partner overrate
1108,Workplace issues,I don't care if you don't like it that I leave early from work,,care leave early work
1109,Relationships,"I recently bought myself men's thong underwear. It was supposed to be a joke for my GF , Turns out they are the most comfortable underwear that I now own.",,recently bought men thong underwear suppose joke turn comfortable underwear
1110,Workplace issues,Apparently I’m the number 1 ugliest guy at work,,apparently number ugliest guy work
1111,Relationships,Teen dating is exhausting and overrated,,teen date exhaust overrate
1112,Stress/Anxiety,Tomorrow I'm taking my 16 year old dog to the vet to get euthanized... I feel like shit,,tomorrow take year old dog vet euthanized ... feel shit
1113,Social Relationships,I'm tired of the news being on in public spaces.,,tire news public space
1114,Workplace issues,My boss tried to have sex with me.,,bos try sex
1115,Depression,I just feel so fucking sad.,,feel fuck sad
1116,Depression,My birthday sucked,,birthday suck
1117,Relationships,Please let your loved ones take pictures of you,,love one take picture
1118,Parenting,I failed my son,,fail son
1119,Depression,I'm not going to make it to 30.,,make
1120,Anger Management,I damn near hate my downstairs neighbors austic child,,damn near hate downstairs neighbor austic child
1121,Intimacy,I wish people who engaged in penis shaming would at least consider how it would feel to have their son or brother treated the same way,,wish people engage penis sham least consider feel son brother treat way
1122,Relationship Dissolution,It’s been three years and I STILL cry reading my divorce papers,,three year still cry reading divorce paper
1123,Relationships,"My boyfriend brought home three sick, disabled dogs without asking and I broke up with him, and now everyone thinks I’m an animal hating monster.",,boyfriend brought home three sick disabled dog without ask broke everyone think animal hat monster
1124,Social Relationships,People are fucking exhausting to be around.,,people fuck exhaust around
1125,Parenting,"I bullied a bunch of kids when I was younger and my parents think they were the ones who bullied me, to this day.",,bully bunch kid young parent think one bully day
1126,LGBTQ,sexuality is a sexual orientation where a person doesn't experience sexual attraction towards anyone. ,,sexuality sexual orientation person experience sexual attraction towards anyone
1127,LGBTQ,I am a heterosexual man,,heterosexual man
1128,LGBTQ,he wouldn't be friends with me if I were to come out as gay because he wouldn't understand how to keep a friendship like that.,,friend come gay understand keep friendship
1129,LGBTQ,"my friend upset me last night. she said i’m ‘not really gay’ if i like trans men, too... ",,friend upset last night really gay trans men ...
1130,LGBTQ,We should not be ashamed of who we are.,,ashamed
1131,Sleep Improvement,"I get tired everyday around 8-9 pm, but don’t want to go to sleep that early as I enjoy the night, ",,tire everyday around want sleep early enjoy night
1132,Sleep Improvement,Slept the best with this sound,,slept best sound
1133,Sleep Improvement,Shallow/short sleep after jogging/running,,shallow/short sleep jogging/running
1134,Sleep Improvement,I just have a question about how this would work,,question work
1135,Sleep Improvement,"When sober I wake up frequently through the night during/after dreams, but when I have consumed substances that inhibit dreaming (alcohol/cannabis) I stay asleep through the night. Which is a better sleep quality?",,sober wake frequently night during/after dream consume substance inhibit dream alcohol/cannabis stay asleep night well sleep quality
1136,Sleep Improvement,I finally found a way to sleep,,finally found way sleep
1137,Sleep Improvement,Bad dreams?,,bad dream
1138,Sleep Improvement,I always fall back asleep after my alarm goes off.,,always fall back asleep alarm
1139,Sleep Improvement,Unusual super vivid dreams.,,unusual super vivid dream
1140,Sleep Improvement,Today weirdest thing happened and ruined my night.,,today weird thing happen ruin night
1141,Sleep Improvement,"Should you keep your room dark during wind down time? Like a few hours before you're going to bed, just keep a small lamp on?",,keep room dark wind time hour 're bed keep small lamp
1142,Sleep Improvement,My sleep is horrible right now and I need help,,sleep horrible right need help
1143,Sleep Improvement,Improve your Sleep with these 5 tips,,improve sleep tip
1144,Sleep Improvement,I can never sleep past 2 hours,,never sleep past hour
1145,Sleep Improvement,Daylight saving time messing me up,,daylight save time mess
1146,Sleep Improvement,Wondering what kind of sleep problems everyone has?,,wonder kind sleep problem everyone
1147,Sleep Improvement,Being Scared makes me want to fall asleep,,scar make want fall asleep
1148,Sleep Improvement,How much earlier can I go to sleep and still sleep 8 hours?,,much earlier sleep still sleep hour
1149,Sleep Improvement,I have severe insomnia and I don't know what to do,,severe insomnia
1150,Substance Abuse/Addiction,i think i have a shopping addiction?,,think shopping addiction
1151,Depression,I hit rock bottom.,,hit rock bottom
1152,Substance Abuse/Addiction,Going To Lose My Niece to Opiate Addiction - Need Advice,,lose niece opiate addiction need advice
1153,Substance Abuse/Addiction,How to approach marijuana addiction with my partner,,approach marijuana addiction partner
1154,Substance Abuse/Addiction,I am a 13 year old methylphenidate addict and am thinking about quitting.,,year old methylphenidate addict think quit
1155,Substance Abuse/Addiction,I know he’s using opiates again but his drug test are coming back clean,,use opiate drug test come back clean
1157,Substance Abuse/Addiction,"I got a hole in my nose and I'm scared, what do I do?",,get hole nose scar
1158,Substance Abuse/Addiction,Need help in deciding what is best for my wife. She is getting out of detox for alcoholism and wants to pursue and outpatient treatment instead of going to a recovery house for a while. Is anyone aware of the different probability of success between the two?,,need help decide best get detox alcoholism want pursue outpatient treatment instead recovery house anyone aware different probability success
1159,Depression,No light is even close to being in sight at the end of this tunnel.,,light even close sight end tunnel
1160,Substance Abuse/Addiction,Recovery from Discord addiction?,,recovery discord addiction
1161,Substance Abuse/Addiction,Vaping,,vaping
1162,Substance Abuse/Addiction,Pornography addiction,,pornography addiction
1163,Substance Abuse/Addiction,Down and still using,,still use
1164,Trauma/Grief/Loss,My sister passed away,,sister pass away
1165,Substance Abuse/Addiction,My husband is addicted to pain killers,,addict pain killer
1166,Substance Abuse/Addiction,When am i going to far?,,far
1167,Substance Abuse/Addiction,"I’m 13 and have recently gained an addiction to pills I received from a friend, and am now looking into buying more.",,recently gain addiction pill receive friend look buying
1168,Parenting,Almost 5 year old doesn’t play with toys.,,almost year old play toy
1169,Parenting,"What I still don't understand is how much she wants toys/things and then when she gets them, she'll play with it like twice and then never again. ",,still understand much want toys/things get 'll play twice never
1170,Substance Abuse/Addiction,How do I go about my family pressing me about my addiction?,,family press addiction
1171,Social Relationships,Who here is looking for friends and not a partner?,,look friend partner
1172,Social Relationships,How to creat reliable close friends,,creat reliable close friend
1173,Social Relationships,"Man, I'm so tired of small talk lol",,man tire small talk lol
1174,Social Relationships,Is it weird to give out gifts to only some friends?,,weird give gift friend
1175,Social Relationships,I found out today that im a socially awkward person. How do i overcome this? [Long Story],,found today socially awkward person overcome long story
1176,Trauma/Grief/Loss,I feel like I do something wrong,,feel something wrong
1177,Social Relationships,How to not over speak in social situations,,speak social situation
1178,Self-esteem,Shy guy with mixed signals?,,shy guy mixed signal
1179,Social Relationships,"Weird Guy on my floor, what do I do?",,weird guy floor
1180,Social Relationships,A guy with no friends can be attractive?,,guy friend attractive
1181,Self-esteem,How do I say goodbye to female friends?,,say goodbye female friend
1182,Self-esteem,"I feel like everyone I interact with is more dominant than me and I always feel like the submissive one, what can I do?",,feel everyone interact dominant always feel submissive
1183,Social Relationships,Friends are always judging me and making me seem dumb,,friend always judging make seem dumb
1184,Self-esteem,I think I'm done trying,,think try
1185,Relationships,Have you ever seen your relationship with somebody as more than it actually was and grow overly attached to somebody you barely knew or didn't feel the same way about you?,,ever see relationship somebody actually grow overly attach somebody barely knew feel way
1186,Depression,I’m really scared that I’m going to be alone forever and I’m going to be unhappy no matter what path I choose in the future,,really scar alone forever unhappy matter path choose future
1187,Self-esteem,Is there something wrong with me?,,something wrong
1188,Social Relationships,Don’t dare to express my opinion,,dare express opinion
1189,Social Relationships,Still no friends in sixth form,,still friend sixth form
1190,Social Relationships,What does 'smart and funny' mean?,,'smart funny mean
1191,Social Relationships,Have you ever stopped being someone’s friend because you hate their spouse?,,ever stop someone friend hate spouse
1192,Social Relationships,How to hold an actual conversation with people you don’t have much in common with?,,hold actual conversation people much common
1193,Stress/Anxiety,Good app to destress?,,good app destress
1194,Anger Management,Are there any alternatives to hitting my head?,,alternative hit head
1195,Anger Management,My girlfriend will not calm down at night,,girlfriend calm night
1196,Anger Management,Where to direct my anger?,,direct anger
1197,Anger Management,Any help with anger with aunt,,help anger aunt
1198,Anger Management,"Except for Stress balls, Any ideas on what things to get for stress/anger?",,except stress ball idea thing stress/anger
1199,Anger Management,How do you deal with someone who has a bad mood?,,deal someone bad mood
1200,Anger Management,I'm always angry and lashing out at home,,always angry lash home
1201,Anger Management,Waves of Anger,,wave anger
1202,Anger Management,"I frequently get what I guess can be called ""angry paranoia""",,frequently guess call angry paranoia
1203,Anger Management,This is probably the most petty thing I got mad over,,probably petty thing get mad
1204,Anger Management,Angry post breakup,,angry post breakup
1205,Anger Management,Crazy amounts of anger I’ve never experienced before bc of Wellbutrin,,crazy amount anger never experienced wellbutrin
1206,Anger Management,Anger and violence towards inanimate objects that hurt me,,anger violence towards inanimate object hurt
1207,Anger Management,FREE Online Anger Support Group Tuesday 9th November @ 7.30pm CET,,free online anger support group tuesday november cet
1208,Anger Management,Are there anger management for moms classes anywhere?,,anger management mom class anywhere
1209,Anger Management,shortest fuse out there,,shortest fuse
1210,Anger Management,This subreddit is for discussion of issues relating to anger management....,,subreddit discussion issue relate anger management ....
1211,Anger Management,I 23M was a bully in high school and still feel bad for who I abused. feeling anger + depressed towards myself,,bully high school still feel bad abuse feel anger depressed towards
1212,Anger Management,Two weekends in a row without fighting with my wife,,weekend row without fight
1213,Anger Management,I don't know how to deal with my anger,,deal anger
1214,Trauma/Grief/Loss,What hits me the hardest are the happiest moments,,hit hardest happiest moment
1215,Trauma/Grief/Loss,My Mom Died & It Feels Like I Died With Her,,mom die feel die
1216,Trauma/Grief/Loss,I thought I was okay but I’m not.,,thought okay
1217,Trauma/Grief/Loss,Me & my mom found my brother after he committed suicide,,mom found brother commit suicide
1218,Trauma/Grief/Loss,I (M24) lost my father about a year ago due to a heart attack and I can’t stop blaming myself for it.,,lose father year ago due heart attack stop blame
1219,Trauma/Grief/Loss,I miss my grandma.,,miss grandma
1220,Trauma/Grief/Loss,I do not know how to cope,,cope
1221,Trauma/Grief/Loss,I randomly smelled my dead boyfriend’s breath while driving yesterday,,randomly smell dead boyfriend breath drive yesterday
1222,Trauma/Grief/Loss,Boyfriend recently lost his father. His best friend.,,boyfriend recently lose father best friend
1223,Trauma/Grief/Loss,Anyone else unable to speak at the funeral?,,anyone else unable speak funeral
1224,Trauma/Grief/Loss,i’ve never lost anyone until now,,never lose anyone
1225,Trauma/Grief/Loss,Struggling with loss,,struggle loss
1226,Trauma/Grief/Loss,missing my mum,,miss mum
1227,Marriage,How can I (20y afab disabled spouse) help my spouse (26y amab)??,,afab disabled spouse help spouse amab
1228,Marriage,26 years of marriage and feel like roommates.,,year marriage feel roommate
1229,Relationships,What does your husband do that you actually love?,,actually love
1230,Relationships,How they treat animals can say a lot about them.,,treat animal say lot
1231,Marriage,Am wrong for not wanting to spend time at the in-laws?,,wrong want spend time in-law
1232,Marriage,How many of you married for status and money and how's it going?,,many married status money
1233,Counseling Fundamentals,Tried an experiment after a couples therapy session. What to make of these results?,,try experiment couple therapy session make result
1234,Marriage,Question for folks who married the first person they fell for.,,question folk married first person fell
1235,Relationships,Do you and your partner hug and lovingly touch every day?,,partner hug lovingly touch every day
1236,Marriage,Advantages and disadvantages of s married life,,advantage disadvantage married life
1237,Marriage,Is it ok to ask for affirmation in your marriage?,,ask affirmation marriage
1238,Relationships,Which describes you and your spouse?,,describes spouse
1239,Marriage,It’s hard to retain a friendship through her divorce. Can anyone relate?,,hard retain friendship divorce anyone relate
1240,Marriage,Writing this in hopes that my wife sees it...,,write hope see ...
1241,Marriage,"To us, family means putting your arms around each other and being there.",,family mean put arm around
1242,Marriage,Best audio book for marriage advice?,,best audio book marriage advice
1243,Marriage,Can a marriage work when you can’t stand your in laws?,,marriage work stand law
1244,Marriage,My husband can’t make a decision to save his life,,make decision save life
1245,Marriage,My husband of 4 years forgot my birthday for the 3rd year in a row.,,year forgot birthday year row
1246,Relationship Dissolution,I can’t get over it.,,
1247,Relationship Dissolution,my ex gf won't say hi to me in public,,say public
1248,Relationship Dissolution,4 actions that helped me overcome a relationship where we shared everything,,action help overcome relationship share everything
1249,Relationship Dissolution,"I sent my ex boyfriend an apology text, but he didn’t reply",,sent boyfriend apology text reply
1250,Relationship Dissolution,"people who’s spouse’s parents didn’t like them, how did it go?",,people spouse parent
1251,Workplace issues,"our staff is slowly returning to work and one guy, who left 18 months ago to work from home, is ""Bill"".but long, styled hair, makeup, a bad dress and a name change submitted to HR.",,staff slowly return work guy left month ago work home bill .but long style hair makeup bad dress change submit
1252,Workplace issues,"The more people you include on an email thread, the less likely you are to get a response.",,people include email thread less likely response
1253,Workplace issues,Why is it that my coworker always wants to put their two cents in with my work and clients. I don't do the shit to her.,,coworker always want put cent work client shit
1254,Workplace issues,Any advice about how to handle new job?,,advice handle new job
1255,Workplace issues, was asked to work on something that's related to my work but not something I was hired for. It took me quite a bit of research to get the hang of it. Meanwhile the work I was meant to do was plodding along very slowly. I hardly got any updates,,ask work something related work something hire take quite bit research hang meanwhile work meant plod along slowly hardly get update
1256,Workplace issues,How to inform my boss that they are being an asshole?,,inform bos asshole
1257,Workplace issues,My coworker made me cry laughing with this one.,,coworker make cry laugh
1258,Workplace issues,"Our small office has an employee ""Joe"" who's not understanding our approach to assigning work. (I became manager, before then my boss was the only thing official.)",,small office employee joe understand approach assign work become manager bos thing official
1259,Workplace issues,Rant about my boss leaving and being uncertain about my future,,rant bos leave uncertain future
1260,Workplace issues,Does every workplace have that real Asshole that talks shit all day and does fuck all but tells everyone he is flat out?,,every workplace real asshole talk shit day fuck tell everyone flat
1261,Workplace issues,Ever faced a situation where your co-worker doesn't like you for no fucking reason?,,ever face situation co-worker fuck reason
1262,Workplace issues,Doing the jobs of multiple people--what to do? Being taken advantage of.,,job multiple people take advantage
1263,Workplace issues,After 15 years of loyal service I have left my job this week. I have received a e-card with lovely messages from the majority of my colleagues and my small team have generously given me a gift.,,year loyal service left job week receive e-card lovely message majority colleague small team generously give gift
1264,Family Conflict,Has anyone ever successfully resolved long-standing intra-family conflict?,,anyone ever successfully resolve long-standing intra-family conflict
1265,Parenting,I feel like a bad dad,,feel bad dad
1266,Stress/Anxiety,Anxiety about the passage of time,,anxiety passage time
1267,Family Conflict,My parents are both refusing any Covid vaccine for wildly different reasons.,,parent refuse covid vaccine wildly different reason
1268,Workplace issues,What to do about a boss that cannot stop lying,,bos stop lie
1269,Family Conflict,How do I (21F) stop my parents (50F & 51M) from commenting on my eating habits?,,stop parent comment eat habit
1270,Self-esteem,(20F)My boyfriend(27M) has a very low self-esteem ,,boyfriend low self-esteem
